,no,G_ID,GDAY_DS,T_ID,WLS,P1,P2,P3,P4,D1,D2,D3,B1,B2,B3,B4,C1,C2,C3,C4,S1,S2,W,WS,WC,YEAR,p1,p2,p3,p4,d1,d2,d3,b1,b2,b3,b4,c1,c2,c3,c4,s1,s2,P,D,B,C,S
6187,47,20200628NCOB0,20200628,OB,L,0.421052632,5,0.210526316,0.222222222,0,0,1,0.151515152,2,0.2,0.151515152,0,0,0,8,0,0.617816092,LOSE,0,9258,2020,0.598756508,0.233918129,0.417601381,0.138888889,0,0,0.25,0.201474202,0.142857143,0.288086643,0.083161157,0,0,0,0.466666667,0,0.617816092,0.611509464,0.583333333,0.453164722,0.133333333,0.308908046
6188,48,20200630OBWO0,20200630,OB,L,0.571428571,12.375,0.257142857,0.5,1,0,0,0.212121212,2,0.235294118,0.454545455,1,0.060606061,0.111111111,6,0,0.617816092,LOSE,0,9258,2020,0.852825745,0.578947368,0.524590163,0.3125,0.5,0,0,0.345384345,0.142857143,0.365682736,0.380165289,0.2,0.141414142,0.141414141,0.333333333,0,0.617816092,0.445079262,0.5,0.390723839,0.287373738,0.308908046
6189,49,20200701OBWO0,20200701,OB,W,0.307692308,5,0.102564103,0.444444444,0,0,1,0.452380952,3,0.488888889,0.69047619,1,0.333333333,0.785714286,4,0,0.617816092,WIN,3,9261,2020,0.407227388,0.233918129,0.169819252,0.277777778,0,0,0.25,0.915885272,0.214285714,0.92322503,0.61140422,0.2,0.777777776,1,0.2,0,0.617816092,0.562723989,0.583333333,0.440968354,0.694444444,0.308908046
6190,50,20200702OBWO0,20200702,OB,L,0.578947368,11.25,0.157894737,0.75,0,1,0,0.27027027,9,0.386363636,0.324324324,0,0.189189189,0.357142857,12,0,0.617816092,LOSE,0,9261,2020,0.865529207,0.526315789,0.296807593,0.46875,0,0.25,0,0.483460293,0.642857143,0.697817525,0.252533783,0,0.441441441,0.454545454,0.733333333,0,0.617816092,0.359053149,0.75,0.43171731,0.29066339,0.308908046
6191,51,20200703HHOB0,20200703,OB,W,0.1875,1,0.3125,0.444444444,0,0,0,0.25,6,0.382352941,0.464285714,1,0.071428571,0.090909091,9,0,0.617816092,WIN,3,9264,2020,0.204155219,0.046783626,0.651639344,0.277777778,0,0,0,0.435328185,0.428571429,0.688999787,0.38971185,0.2,0.166666666,0.115702479,0.533333333,0,0.617816092,0.78073068,0.666666667,0.51630336,0.237258953,0.308908046
6192,52,20200704HHOB0,20200704,OB,L,0.416666667,6,0.138888889,0.333333333,0,1,0,0.263157895,5,0.333333333,0.315789474,0,0.052631579,0.166666667,14,1,1,LOSE,0,9264,2020,0.591346155,0.280701754,0.253187614,0.208333333,0,0.25,0,0.466571835,0.357142857,0.581227436,0.24416866,0,0.122807018,0.212121212,0.866666667,0.2,1,0.543201593,0.75,0.623300398,0.117065391,0.6
6193,53,20200705HHOB0,20200705,OB,W,0.342857143,4,0.228571429,0.111111111,0,1,0,0.378378378,4,0.43902439,0.594594595,1,0.189189189,0.461538462,9,3,1,WIN,3,9267,2020,0.466640503,0.187134503,0.459016394,0.069444444,0,0.25,0,0.740164874,0.285714286,0.813595139,0.517429361,0.2,0.441441441,0.587412588,0.533333333,0.6,1,0.683949236,0.75,0.758487309,0.423880174,0.8
6194,54,20200707LGOB0,20200707,OB,W,0.432432432,6,0.162162162,0.333333333,0,0,1,0.4,3,0.41025641,0.628571429,1,0.257142857,0.230769231,7,0,0.617816092,WIN,3,9270,2020,0.617983367,0.280701754,0.306601683,0.208333333,0,0,0.25,0.791505791,0.214285714,0.750347125,0.55073052,0.2,0.599999999,0.293706294,0.4,0,0.617816092,0.549895807,0.583333333,0.437761308,0.423426573,0.308908046
6195,55,20200708LGOB0,20200708,OB,L,0.457142857,8,0.114285714,0.555555556,0,2,0,0.365853659,2,0.395348837,0.414634146,0,0.12195122,0.428571429,11,1,1,LOSE,0,9270,2020,0.659733124,0.374269006,0.19672131,0.347222223,0,0.5,0,0.710424711,0.142857143,0.717571992,0.341047671,0,0.284552846,0.545454546,0.666666667,0.2,1,0.453874239,0.833333333,0.621801893,0.290835181,0.6
6196,56,20200709LGOB0,20200709,OB,W,0.068965517,0,0.413793103,0,0,0,0,0.363636364,3,0.378378378,0.666666667,2,0.181818182,0.142857143,8,0,0,WIN,3,9273,2020,0.003884046,0,0.884115319,0,0,0,0,0.705159706,0.214285714,0.680261488,0.588068182,0.4,0.424242424,0.181818182,0.466666667,0,0,0.970057818,0.666666667,0.409181121,0.384848485,0
6197,57,20200710OBLT0,20200710,OB,W,0.3125,5,0.1875,0.222222222,0,1,0,0.307692308,5,0.386363636,0.641025641,2,0.230769231,0.4,7,0,0.617816092,WIN,3,9276,2020,0.415350275,0.233918129,0.364754098,0.138888889,0,0.25,0,0.572319573,0.357142857,0.697817525,0.562937063,0.4,0.538461538,0.509090909,0.4,0,0.617816092,0.644149201,0.75,0.502991323,0.511888112,0.308908046
6198,58,20200711OBLT0,20200711,OB,L,0.303030303,5.625,0.090909091,0.375,0,1,0,0.222222222,3,0.282051282,0.388888889,1,0.083333333,0.181818182,8,0,0.617816092,LOSE,0,9276,2020,0.399350649,0.263157895,0.143070044,0.234375,0,0.25,0,0.369369368,0.214285714,0.468480977,0.315814394,0.2,0.194444443,0.231404959,0.466666667,0,0.617816092,0.561546625,0.75,0.482340679,0.289795684,0.308908046
6199,59,20200714SKOB0,20200714,OB,L,0.375,12,0.125,0.333333333,1,0,0,0.315789474,1,0.315789474,0.578947368,1,0.184210526,0.5,5,2,1,LOSE,0,9276,2020,0.520947802,0.561403509,0.221311475,0.208333333,0.5,0,0,0.591546434,0.071428571,0.54265628,0.502093301,0.2,0.42982456,0.636363636,0.266666667,0.4,1,0.482656708,0.5,0.595664177,0.499880382,0.7
6200,60,20200715SKOB0,20200715,OB,W,0.285714286,2,0.285714286,0.111111111,0,0,0,0.388888889,3,0.425,0.722222222,1,0.194444444,0.266666667,9,2,1,WIN,3,9279,2020,0.370094192,0.093567251,0.590163935,0.069444444,0,0,0,0.765122265,0.214285714,0.782761733,0.642518939,0.2,0.453703702,0.33939394,0.533333333,0.4,1,0.764264512,0.666666667,0.707732795,0.364941077,0.7
6201,61,20200716SKOB0,20200716,OB,W,0.235294118,2,0.176470588,0.333333333,0,2,0,0.3125,2,0.342857143,0.5,0,0.125,0.25,7,3,0.75,WIN,3,9282,2020,0.284906271,0.093567251,0.339440693,0.208333333,0,0.5,0,0.583735521,0.142857143,0.602166065,0.424715909,0,0.291666666,0.318181818,0.4,0.6,0.75,0.68815846,0.833333333,0.717872948,0.302462121,0.675
6202,62,20200717OBHT0,20200717,OB,L,0.433333333,4.5,0.166666667,0.625,0,0,0,0.225806452,2,0.272727273,0.225806452,0,0.064516129,0.25,4,1,1,LOSE,0,9282,2020,0.619505494,0.210526316,0.316939891,0.390625,0,0,0,0.377880185,0.142857143,0.447981622,0.155975073,0,0.150537634,0.318181818,0.2,0.2,1,0.52407077,0.666666667,0.597684359,0.317179863,0.6
6203,63,20200718OBHT0,20200718,OB,W,0.303030303,0,0.212121212,0.555555556,0,2,0,0.375,8,0.45,0.5,0,0.1875,0.428571429,11,0,0,WIN,3,9285,2020,0.399350649,0,0.421261798,0.347222223,0,0.5,0,0.732142857,0.571428571,0.837725632,0.424715909,0,0.4375,0.545454546,0.666666667,0,0,0.668672232,0.833333333,0.375501391,0.32907197,0
6204,64,20200719OBHT0,20200719,OB,W,0.28125,4,0.15625,0.666666667,0,1,0,0.297297297,5,0.35,0.567567568,1,0.216216216,0.363636364,6,2,0.666666667,WIN,3,9288,2020,0.362551511,0.187134503,0.293032786,0.416666667,0,0.25,0,0.547636439,0.357142857,0.617870036,0.490939804,0.2,0.504504503,0.462809918,0.333333333,0.4,0.666666667,0.581670026,0.75,0.599584173,0.458495272,0.533333334
6205,1,20200505HHSK0,20200505,SK,L,0.35483871,3,0.161290323,0.222222222,0,1,0,0.068965517,1,0.1,0.068965517,0,0,0,3,0,0.577586207,LOSE,0,9288,2020,0.486884084,0.140350877,0.304600741,0.138888889,0,0.25,0,0.005458659,0.071428571,0.068231047,0.002253134,0,0,0,0.133333333,0,0.577586207,0.634619223,0.75,0.490551357,0.216666667,0.288793104
6206,2,20200506HHSK0,20200506,SK,W,0.225806452,2,0.161290323,0.444444444,0,1,1,0.272727273,3,0.333333333,0.696969697,2,0.151515152,0.166666667,8,3,1,WIN,3,9291,2020,0.268876285,0.093567251,0.304600741,0.277777778,0,0.25,0.25,0.48929449,0.214285714,0.581227436,0.617768595,0.4,0.353535354,0.212121212,0.466666667,0.6,1,0.666094857,0.666666667,0.733190381,0.374747475,0.8
6207,3,20200507HHSK0,20200507,SK,L,0.378378378,8,0.189189189,0.555555556,0,3,1,0.384615385,6,0.441860465,0.641025641,0,0.076923077,0.1875,14,0,0.577586207,LOSE,0,9291,2020,0.526655776,0.374269006,0.368630925,0.347222223,0,0.75,0.25,0.754974756,0.428571429,0.819830408,0.562937063,0,0.179487179,0.238636364,0.866666667,0,0.577586207,0.53012098,0.833333333,0.48526013,0.137864219,0.288793104
6208,4,20200508SKLT0,20200508,SK,L,0.538461538,8.678571429,0.256410256,0.214285714,0,0,2,0.325,2,0.340909091,0.75,2,0.2,0.5,7,4,1,LOSE,0,9291,2020,0.797125951,0.406015038,0.522908784,0.133928571,0,0,0.5,0.613416988,0.142857143,0.597883164,0.669744318,0.4,0.466666666,0.636363636,0.4,0.8,1,0.546459806,0.5,0.711614952,0.525757576,0.9
6209,5,20200510SKLT0,20200510,SK,L,0.24137931,4.5,0.137931034,0.5,1,1,1,0.103448276,0,0.103448276,0.172413793,0,0,0,2,0,0.577586207,LOSE,0,9291,2020,0.29518757,0.210526316,0.250989258,0.3125,0.5,0.25,0.25,0.08733857,0,0.075812275,0.1036442,0,0,0,0.066666667,0,0.577586207,0.608193843,0.5,0.421445012,0.233333333,0.288793104
6210,6,20200512SKLG0,20200512,SK,L,0.405405405,10.125,0.189189189,0.25,0,0,1,0.264705882,4,0.315789474,0.558823529,1,0.147058824,0,7,0,0.577586207,LOSE,0,9291,2020,0.572319572,0.473684211,0.368630925,0.15625,0,0,0.25,0.470247557,0.285714286,0.54265628,0.482369652,0.2,0.343137256,0,0.4,0,0.577586207,0.541594286,0.583333333,0.425628457,0.285784314,0.288793104
6211,7,20200513SKLG0,20200513,SK,L,0.5,15.75,0.138888889,0.75,0,0,0,0.294117647,2,0.333333333,0.352941176,0,0.058823529,0.4,7,1,1,LOSE,0,9291,2020,0.732142857,0.736842105,0.253187614,0.46875,0,0,0,0.540086304,0.142857143,0.581227436,0.28058155,0,0.137254901,0.509090909,0.4,0.2,1,0.328863163,0.666666667,0.548882457,0.311586452,0.6
6212,8,20200514SKLG0,20200514,SK,L,0.4375,3.24,0.375,0.48,0,2,0,0.129032258,3,0.205882353,0.258064516,1,0.064516129,0,5,0,0.577586207,LOSE,0,9291,2020,0.62654533,0.151578947,0.795081968,0.3,0,0.5,0,0.14808818,0.214285714,0.301019325,0.187591642,0.2,0.150537634,0,0.266666667,0,0.577586207,0.679239423,0.833333333,0.522539741,0.270967742,0.288793104
6213,9,20200515NCSK0,20200515,SK,L,0.325,5.4,0.275,0.5,0,1,1,0.066666667,7,0.243243243,0.266666667,1,0.066666667,0,6,0,0,LOSE,0,9291,2020,0.43646978,0.252631579,0.56557377,0.3125,0,0.25,0.25,0,0.5,0.383159332,0.196022727,0.2,0.155555556,0,0.333333333,0,0,0.640993103,0.666666667,0.326914942,0.255555556,0
6214,10,20200516NCSK0,20200516,SK,L,0.206896552,2,0.275862069,0.444444444,0,2,0,0.193548387,2,0.21875,0.387096774,1,0.032258065,0,5,0,0.577586207,LOSE,0,9291,2020,0.236926866,0.093567251,0.567552289,0.277777778,0,0.5,0,0.301282849,0.142857143,0.329309567,0.314057917,0.2,0.075268818,0,0.266666667,0,0.577586207,0.739820099,0.833333333,0.53768491,0.252150538,0.288793104
6215,11,20200517NCSK0,20200517,SK,L,0.527777778,11,0.166666667,1,0,1,0,0.307692308,4,0.372093023,0.358974359,0,0.128205128,0.333333333,11,0,0.577586207,LOSE,0,9291,2020,0.779075092,0.514619883,0.316939891,0.625,0,0.25,0,0.572319573,0.285714286,0.666442783,0.286494755,0,0.299145298,0.424242424,0.666666667,0,0.577586207,0.349561229,0.75,0.419286859,0.264180264,0.288793104
6216,12,20200519SKWO0,20200519,SK,L,0.473684211,12.375,0.184210526,0.625,0,2,1,0.181818182,5,0.27027027,0.363636364,1,0.181818182,0.375,5,0,0.577586207,LOSE,0,9291,2020,0.687680741,0.578947368,0.357204486,0.390625,0,0.5,0.25,0.273429273,0.357142857,0.442579763,0.29106405,0.2,0.424242424,0.477272727,0.266666667,0,0.577586207,0.424987844,0.75,0.438143513,0.458712121,0.288793104
6217,13,20200520SKWO0,20200520,SK,W,0.264705882,3,0.235294118,0.444444444,0,0,1,0.263157895,2,0.3,0.368421053,1,0.131578947,0.444444444,8,0,0.577586207,WIN,3,9294,2020,0.334599224,0.140350877,0.474445517,0.277777778,0,0,0.25,0.466571835,0.142857143,0.507942238,0.295753589,0.2,0.307017543,0.565656565,0.466666667,0,0.577586207,0.68042941,0.583333333,0.460337237,0.40150186,0.288793104
6218,14,20200521SKWO0,20200521,SK,L,0.45,9,0.275,0.444444444,1,1,0,0.324324324,4,0.380952381,0.567567568,1,0.189189189,0.416666667,6,0,0,LOSE,0,9294,2020,0.647664835,0.421052632,0.56557377,0.277777778,0.5,0.25,0,0.611812584,0.285714286,0.685920578,0.490939804,0.2,0.441441441,0.530303031,0.333333333,0,0,0.554769631,0.583333333,0.284525741,0.459602784,0
6219,15,20200522HTSK0,20200522,SK,L,0.272727273,2,0.181818182,0.444444444,0,0,1,0.1875,1,0.212121212,0.25,0,0.03125,0.166666667,5,1,0.333333333,LOSE,0,9294,2020,0.348151848,0.093567251,0.35171386,0.277777778,0,0,0.25,0.286920849,0.071428571,0.314735806,0.1796875,0,0.072916667,0.212121212,0.266666667,0.2,0.333333333,0.658054246,0.583333333,0.443680228,0.254592803,0.266666667
6220,16,20200523HTSK0,20200523,SK,L,0.352941176,8,0.264705882,0.666666667,0,0,3,0.28125,4,0.342857143,0.46875,1,0.09375,0.285714286,6,0,0.577586207,LOSE,0,9294,2020,0.483678086,0.374269006,0.541947926,0.416666667,0,0,0.75,0.509531853,0.285714286,0.602166065,0.394087358,0.2,0.21875,0.363636364,0.333333333,0,0.577586207,0.566833542,0.416666667,0.390271604,0.362263258,0.288793104
6221,17,20200524HTSK0,20200524,SK,W,0.34,2.25,0.12,0.25,0,1,1,0.195121951,4,0.25,0.268292683,0,0.048780488,0.125,7,0,0.577586207,WIN,3,9297,2020,0.461813187,0.105263158,0.209836065,0.15625,0,0.25,0.25,0.305019304,0.285714286,0.398014441,0.197616408,0,0.113821139,0.159090909,0.4,0,0.577586207,0.62162743,0.666666667,0.466470076,0.218228012,0.288793104
6222,18,20200526SKOB0,20200526,SK,L,0.230769231,6.75,0.346153846,0.375,0,0,0,0.21875,5,0.324324324,0.21875,0,0.09375,0.222222222,6,0,0.577586207,LOSE,0,9297,2020,0.2772612,0.315789474,0.72887768,0.234375,0,0,0,0.361124517,0.357142857,0.561420626,0.149058949,0,0.21875,0.282828282,0.333333333,0,0.577586207,0.725363001,0.666666667,0.492403969,0.292061237,0.288793104
6223,19,20200527SKOB0,20200527,SK,L,0.258064516,4.5,0.096774194,0.125,0,0,0,0.193548387,5,0.297297297,0.35483871,0,0.064516129,0.2,8,0,0.577586207,LOSE,0,9297,2020,0.323378234,0.210526316,0.156530936,0.078125,0,0,0,0.301282849,0.357142857,0.502000195,0.282441349,0,0.150537634,0.254545454,0.466666667,0,0.577586207,0.636125347,0.666666667,0.470094555,0.234604105,0.288793104
6224,20,20200528SKOB0,20200528,SK,W,0.185185185,1,0.185185185,0.333333333,0,3,0,0.289473684,4,0.357142857,0.552631579,1,0.157894737,0.25,8,1,0.5,WIN,3,9300,2020,0.2002442,0.046783626,0.359441408,0.208333333,0,0.75,0,0.529059134,0.285714286,0.633574007,0.476300837,0.2,0.368421053,0.318181818,0.466666667,0.2,0.5,0.726020062,0.916666667,0.585671682,0.354984051,0.35
6225,21,20200529HHSK0,20200529,SK,W,0.459459459,6,0.162162162,0.333333333,0,1,1,0.323529412,3,0.368421053,0.676470588,3,0.235294118,0.4,6,1,1,WIN,3,9303,2020,0.663647163,0.280701754,0.306601683,0.208333333,0,0.25,0.25,0.609925051,0.214285714,0.658369752,0.597677139,0.6,0.549019608,0.509090909,0.333333333,0.2,1,0.538479858,0.666666667,0.601286631,0.581194296,0.6
6226,22,20200530HHSK0,20200530,SK,W,0.107142857,3,0.321428571,0.777777778,0,2,0,0.258064516,13,0.465116279,0.516129032,1,0.258064516,0.214285714,10,1,0.5,WIN,3,9306,2020,0.068386969,0.140350877,0.672131147,0.486111111,0,0.5,0,0.454477518,0.928571429,0.870959617,0.440524193,0.2,0.602150537,0.272727272,0.6,0.2,0.5,0.744320547,0.833333333,0.56941347,0.368719452,0.35
6227,23,20200531HHSK0,20200531,SK,W,0.1875,4,0.15625,0.444444444,0,0,1,0.333333333,9,0.461538462,0.7,1,0.2,0.3,10,3,0.75,WIN,3,9309,2020,0.204155219,0.187134503,0.293032786,0.277777778,0,0,0.25,0.633204632,0.642857143,0.863093586,0.620738636,0.2,0.466666666,0.381818182,0.6,0.6,0.75,0.655991322,0.583333333,0.647331164,0.362121212,0.675
6228,24,20200602SKNC0,20200602,SK,W,0.294117647,2,0.323529412,0.222222222,0,0,0,0.297297297,8,0.409090909,0.513513514,0,0.189189189,0.266666667,10,1,1,WIN,3,9312,2020,0.384292178,0.093567251,0.676952749,0.138888889,0,0,0,0.547636439,0.571428571,0.747784706,0.437960688,0,0.441441441,0.33939394,0.6,0.2,1,0.765051108,0.666666667,0.657929444,0.295208845,0.6
6229,25,20200603SKNC0,20200603,SK,L,0.571428571,9,0.142857143,0.625,0,1,0,0.289473684,4,0.341463415,0.710526316,2,0.157894737,0.375,9,0,0.577586207,LOSE,0,9312,2020,0.852825745,0.421052632,0.262295082,0.390625,0,0.25,0,0.529059134,0.285714286,0.599101876,0.631055622,0.4,0.368421053,0.477272727,0.533333333,0,0.577586207,0.399447926,0.75,0.431758533,0.428090112,0.288793104
6230,26,20200604SKNC0,20200604,SK,L,0.4375,11.25,0.09375,1.25,0,1,0,0.166666667,4,0.264705882,0.166666667,0,0,0,8,1,1,LOSE,0,9312,2020,0.62654533,0.526315789,0.149590163,0.78125,0,0.25,0,0.237451738,0.285714286,0.430346145,0.098011364,0,0,0,0.466666667,0.2,1,0.303869761,0.75,0.56346744,0.133333333,0.6
6231,27,20200605SSSK0,20200605,SK,W,0.25,1,0.3125,0.111111111,0,1,0,0.214285714,7,0.371428571,0.357142857,0,0.142857143,0.222222222,8,0,0,WIN,3,9315,2020,0.309752747,0.046783626,0.651639344,0.069444444,0,0.25,0,0.350523992,0.5,0.664981948,0.284699675,0,0.333333333,0.282828282,0.466666667,0,0,0.806414632,0.75,0.389103658,0.287373737,0
6232,28,20200606SSSK0,20200606,SK,W,0.25,4,0.25,0.333333333,0,1,0,0.230769231,9,0.411764706,0.538461538,2,0.230769231,0.333333333,5,2,0.666666667,WIN,3,9318,2020,0.309752747,0.187134503,0.508196721,0.208333333,0,0.25,0,0.38966439,0.642857143,0.753663198,0.462412587,0.4,0.538461538,0.424242424,0.266666667,0.4,0.666666667,0.700744035,0.75,0.629352675,0.524009324,0.533333334
6233,29,20200607SSSK0,20200607,SK,L,0.3125,3,0.25,0.222222222,0,2,2,0.181818182,3,0.25,0.181818182,0,0,0,9,0,0.577586207,LOSE,0,9318,2020,0.415350275,0.140350877,0.508196721,0.138888889,0,0.5,0.5,0.273429273,0.214285714,0.398014441,0.11286157,0,0,0,0.533333333,0,0.577586207,0.70340167,0.666666667,0.486913636,0.116666667,0.288793104
6234,30,20200609SKLG0,20200609,SK,W,0.307692308,2.7,0.179487179,0.7,0,2,0,0.263157895,5,0.340909091,0.578947368,1,0.131578947,0.375,8,0,0,WIN,3,9321,2020,0.407227388,0.126315789,0.346364017,0.4375,0,0.5,0,0.466571835,0.357142857,0.597883164,0.502093301,0.2,0.307017543,0.477272727,0.466666667,0,0,0.59383021,0.833333333,0.356790886,0.379405901,0
6235,31,20200611SKLG1,20200611,SK,L,0.375,3.375,0.125,0.25,0,1,1,0.176470588,1,0.176470588,0.235294118,0,0.029411765,0.142857143,7,2,1,LOSE,0,9321,2020,0.520947802,0.157894737,0.221311475,0.15625,0,0.25,0.25,0.260731318,0.071428571,0.236355914,0.165274064,0,0.068627452,0.181818182,0.4,0.4,1,0.596554734,0.666666667,0.66580535,0.212611408,0.7
6236,32,20200611SKLG2,20200611,SK,L,0.269230769,4.5,0.192307692,0.75,0,0,2,0.264705882,2,0.285714286,0.5,2,0.088235294,0.166666667,8,0,0.577586207,LOSE,0,9321,2020,0.342244294,0.210526316,0.375788145,0.46875,0,0,0.5,0.470247557,0.142857143,0.476534297,0.424715909,0.4,0.205882352,0.212121212,0.466666667,0,0.577586207,0.588566884,0.5,0.416538273,0.337834225,0.288793104
6237,33,20200612HTSK0,20200612,SK,L,0.352941176,6,0.352941176,0.222222222,0,1,0,0.166666667,4,0.257142857,0.266666667,0,0.1,0.333333333,5,0,0.577586207,LOSE,0,9321,2020,0.483678086,0.280701754,0.744455158,0.138888889,0,0.25,0,0.237451738,0.285714286,0.413718411,0.196022727,0,0.233333333,0.424242424,0.266666667,0,0.577586207,0.710296607,0.75,0.509470704,0.347727273,0.288793104
6238,34,20200613HTSK0,20200613,SK,L,0.258064516,2,0.322580645,0.222222222,0,0,0,0.166666667,2,0.21875,0.166666667,0,0.033333333,0.2,4,1,1,LOSE,0,9321,2020,0.323378234,0.093567251,0.674775251,0.138888889,0,0,0,0.237451738,0.142857143,0.329309567,0.098011364,0,0.077777777,0.254545454,0.2,0.2,1,0.779735219,0.666666667,0.661600471,0.283080808,0.6
6239,35,20200614HTSK0,20200614,SK,W,0.264705882,3,0.117647059,0.222222222,0,1,0,0.107142857,2,0.166666667,0.464285714,2,0.142857143,0.333333333,1,0,0.577586207,WIN,3,9324,2020,0.334599224,0.140350877,0.204435872,0.138888889,0,0.25,0,0.096111416,0.142857143,0.214801445,0.38971185,0.4,0.333333333,0.424242424,0,0,0.577586207,0.647649221,0.75,0.493808857,0.539393939,0.288793104
6240,36,20200616KTSK0,20200616,SK,L,0.297297297,5.4,0.135135135,0.8,0,0,0,0.315789474,4,0.365853659,0.631578947,2,0.131578947,0.428571429,9,0,0.577586207,LOSE,0,9324,2020,0.389664389,0.252631579,0.24457244,0.5,0,0,0,0.591546434,0.285714286,0.652725192,0.553678229,0.4,0.307017543,0.545454546,0.533333333,0,0.577586207,0.525569118,0.666666667,0.442455498,0.429784689,0.288793104
6241,37,20200617KTSK0,20200617,SK,L,0.41025641,5.4,0.282051282,0.7,0,2,3,0.27027027,3,0.325,0.432432432,1,0.108108108,0.333333333,7,0,0,LOSE,0,9324,2020,0.580515638,0.252631579,0.581757041,0.4375,0,0.5,0.75,0.483460293,0.214285714,0.562906137,0.358492014,0.2,0.252252252,0.424242424,0.4,0,0,0.577777456,0.583333333,0.290277697,0.369123669,0
6242,38,20200618KTSK0,20200618,SK,L,0.405405405,5,0.27027027,0.444444444,0,1,0,0.24137931,6,0.352941176,0.517241379,2,0.103448276,0.333333333,5,0,0.577586207,LOSE,0,9324,2020,0.572319572,0.233918129,0.554718652,0.277777778,0,0.25,0,0.414858207,0.428571429,0.624336376,0.441614419,0.4,0.24137931,0.424242424,0.266666667,0,0.577586207,0.617675794,0.75,0.4863155,0.449738767,0.288793104
6243,39,20200619SKWO0,20200619,SK,L,0.214285714,2.16,0.214285714,0.48,0,0,0,0.242424242,1,0.264705882,0.242424242,0,0.03030303,0,6,0,0.577586207,LOSE,0,9324,2020,0.249411302,0.101052632,0.426229507,0.3,0,0,0,0.417339416,0.071428571,0.430346145,0.172262396,0,0.07070707,0,0.333333333,0,0.577586207,0.693941393,0.666666667,0.484548567,0.184343434,0.288793104
6244,40,20200620SKWO0,20200620,SK,L,0.516129032,10.125,0.193548387,0.75,0,1,0,0.277777778,2,0.315789474,0.388888889,1,0.083333333,0.166666667,8,1,1,LOSE,0,9324,2020,0.759393832,0.473684211,0.378635642,0.46875,0,0.25,0,0.501287001,0.142857143,0.54265628,0.315814394,0.2,0.194444443,0.212121212,0.466666667,0.2,1,0.4192019,0.75,0.592300475,0.284974747,0.6
6245,41,20200621SKWO0,20200621,SK,L,0.314285714,7.875,0.285714286,0.875,0,0,1,0.125,2,0.151515152,0.40625,1,0.0625,0,5,0,0.577586207,LOSE,0,9324,2020,0.418367346,0.368421053,0.590163935,0.546875,0,0,0.25,0.138513513,0.142857143,0.181489992,0.332830255,0.2,0.145833333,0,0.266666667,0,0.577586207,0.564125134,0.583333333,0.431261169,0.269791667,0.288793104
6246,42,20200623OBSK0,20200623,SK,L,0.452380952,9,0.166666667,0.555555556,0,0,2,0.35,0,0.35,0.35,0,0.05,0.363636364,11,0,0.577586207,LOSE,0,9324,2020,0.651687598,0.421052632,0.316939891,0.347222223,0,0,0.5,0.672779923,0,0.617870036,0.277698863,0,0.116666667,0.462809918,0.666666667,0,0.577586207,0.47424436,0.5,0.387957642,0.228202479,0.288793104
6247,43,20200625OBSK1,20200625,SK,L,0.533333333,14,0.066666667,0.888888889,0,0,2,0.358974359,3,0.404761905,0.58974359,1,0.153846154,0.333333333,9,0,0.577586207,LOSE,0,9324,2020,0.788461538,0.65497076,0.087431694,0.555555556,0,0,0.5,0.694089694,0.214285714,0.738267148,0.512674825,0.2,0.358974359,0.424242424,0.533333333,0,0.577586207,0.27211096,0.5,0.337424292,0.362470862,0.288793104
6248,44,20200625OBSK2,20200625,SK,W,0.129032258,0,0.290322581,0.222222222,0,0,0,0.303030303,8,0.414634146,0.484848485,1,0.212121212,0.153846154,12,1,1,WIN,3,9327,2020,0.105370435,0,0.60074035,0.138888889,0,0,0,0.561249561,0.571428571,0.759971823,0.409865702,0.2,0.494949494,0.195804196,0.733333333,0.2,1,0.839120256,0.666666667,0.676446731,0.289355089,0.6
6249,45,20200626LGSK0,20200626,SK,W,0.111111111,0,0.148148148,0.555555556,0,2,0,0.3,5,0.4,0.433333333,1,0.2,0.4,5,0,0.577586207,WIN,3,9330,2020,0.075091574,0,0.274438372,0.347222223,0,0.5,0,0.554054054,0.357142857,0.727797834,0.359374999,0.2,0.466666666,0.509090909,0.266666667,0,0.577586207,0.713031144,0.833333333,0.530987671,0.477272727,0.288793104
6250,46,20200627LGSK0,20200627,SK,L,0.4,3,0.2,0.222222222,0,1,0,0.1,2,0.15625,0.1,0,0,0.2,5,0,0.577586207,LOSE,0,9330,2020,0.563186813,0.140350877,0.393442623,0.138888889,0,0.25,0,0.079150578,0.142857143,0.19189982,0.032670454,0,0,0.254545454,0.266666667,0,0.577586207,0.637754011,0.75,0.491335054,0.246969697,0.288793104
6251,47,20200628LGSK0,20200628,SK,L,0.342857143,4,0.114285714,0.222222222,0,0,1,0.15625,1,0.181818182,0.21875,0,0,0,6,0,0.577586207,LOSE,0,9330,2020,0.466640503,0.187134503,0.19672131,0.138888889,0,0,0.25,0.212717181,0.071428571,0.248112899,0.149058949,0,0,0,0.333333333,0,0.577586207,0.601014354,0.583333333,0.440483474,0.166666667,0.288793104
6252,48,20200630SKSS0,20200630,SK,L,0.34375,4.5,0.3125,0.375,0,0,0,0.15625,1,0.181818182,0.34375,1,0.03125,0,5,0,0,LOSE,0,9330,2020,0.468149038,0.210526316,0.651639344,0.234375,0,0,0,0.212717181,0.071428571,0.248112899,0.271573153,0.2,0.072916667,0,0.266666667,0,0,0.684647248,0.666666667,0.337828479,0.2515625,0
